Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
St. Louis,Missouri,https://www.stlouis-mo.gov/data/topics/topic.cfm?id=28,4/27/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis County,Missouri,https://data.stlouisco.com/search?tags=HubPSData,12/20/2022,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,
Bedford,Virginia,"https://www.bedfordva.gov/1177/Police-Data, https://geohub-bedfordvagis.opendata.arcgis.com/search?groupIds=9c16fc642bdf48baaa79226bcb1545df",4/27/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,South Carolina,"https://www.arcgis.com/apps/MapSeries/index.html?appid=fad2a3f085c644d0b014b507d23bcd9a, https://www.charleston-sc.gov/1570/Open-Data",3/16/2023,sowdm,,,,,,Has Addresses,,Has Addresses,,,,,,,,,,,Has Addresses,,,,,,,,,,,Added,,,,,,,,,,,
Long Branch,New Jersey,https://www.longbranch.org/departments/Police/public-safety-open-data,4/27/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knoxville,Tennessee,https://www.knoxvilletn.gov/government/opendata,4/27/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Beach,Virginia,https://data.virginiabeach.gov/search?q=police&type=table%2Cfeature%20layer,3/16/2023,sowdm,,Added,,,,,,Added,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Jacksonville,Florida,https://transparency.jaxsheriff.org/,4/27/2022,sowdm,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,
Los Angeles County,California,https://data.lacounty.gov/browse?category=Public+Safety&limitTo=datasets,4/27/2022,sowdm,,,,,,,,,,,,,,,,,,,,,,Added,Added,Added,,,,,,,,,,,,,,,,,
Redondo Beach,California,https://www.redondo.org/depts/police/police_transparency/default.asp,1/15/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparks,Nevada,https://www.cityofsparks.us/police_home/about_us/reports_and_crime_stats/officer_involved_shootings.php,12/21/2022,sowdm,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,
Winooski,Vermont,https://www.winooskivt.gov/355/Fair-and-Impartial-Policing-Reporting,3/16/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,
Alexandria,Virginia,https://cityofalexandria-alexgis.opendata.arcgis.com/search?tags=Public%20Safety,5/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,Massachusetts,https://data.boston.gov/dataset?groups=public-safety,3/16/2023,sowdm,,,,,,,,,,,,,,,,,,,Issue #111,Issue #166,,,,,,,,,,,,,,,,,,,,,
Chicago,Illinois,https://data.cityofchicago.org/browse?category=Public%20Safety,3/16/2023,sowdm,,,,,,Added,,,,Added,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,
Birmingham,Alabama,https://data.birminghamal.gov/group/police,5/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,Alabama,https://public-safety-citymgm.hub.arcgis.com/,5/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Alabama,https://data-algeohub.opendata.arcgis.com/search?groupIds=1cec01ca915147b0b94b8be7868916a0,5/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Huntsville,Alabama,https://gis-huntsvilleal.opendata.arcgis.com/search?q=police&sort=name,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Alaska,https://data.alaska.gov/browse?limitTo=datasets,5/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juneau,Alaska,,5/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,Arizona,https://phoenixopendata.com/group/public-safety,3/16/2023,sowdm,,,,,,Added,,Added,,,,,,,,,,Added,,,Added,,,,,,,,,Added,,,,,Added,,,,,,
Scottsdale,Arizona,https://data.scottsdaleaz.gov/search?tags=public-safety,5/18/2022,sowdm,,,,,,Only 1 rolling year of data,,Only 1 rolling year of data,Only 1 rolling year of data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Arizona,https://azgeo-open-data-agic.hub.arcgis.com/search?q=police,5/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Arkansas,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Rock,Arkansas,https://data.littlerock.gov/browse?limitTo=datasets&q=&sortBy=relevance,5/19/2022,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeport,Connecticut,,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Colorado,https://data.colorado.gov/browse?category=Public+Safety&limitTo=datasets,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Colorado,https://open-data.bouldercolorado.gov/search?q=police,8/27/2023,sowdm,,Added,,,,Added,,,,,,,,,,,,,,Added,,,,,Issue #111,,,,,,,,,,,,,,,,
